期号,正码1,正码2,正码3,正码4,正码5,正码6,特码,生肖,波色,大小,单双,开奖时间,正码1生肖,正码2生肖,正码3生肖,正码4生肖,正码5生肖,正码6生肖
20260820479,2,42,14,21,7,9,1,马,红波,小,单,2026-08-20 23:54:00,蛇,牛,蛇,狗,鼠,狗
20260820480,47,9,28,3,36,4,22,鸡,绿波,小,双,2026-08-20 23:57:00,猴,狗,兔,龙,羊,兔
20260821001,33,34,10,49,43,9,31,鼠,蓝波,大,单,2026-08-21 00:00:00,狗,鸡,鸡,马,鼠,狗
20260821002,7,32,34,30,8,38,4,兔,蓝波,小,双,2026-08-21 00:03:00,鼠,猪,鸡,牛,猪,蛇
20260821003,41,27,12,24,23,38,2,蛇,红波,小,双,2026-08-21 00:06:00,虎,龙,羊,羊,猴,蛇
20260821004,45,40,39,46,20,2,30,牛,红波,大,双,2026-08-21 00:09:00,狗,兔,龙,鸡,猪,蛇
20260821005,43,27,38,39,47,35,29,虎,红波,大,单,2026-08-21 00:12:00,鼠,龙,蛇,龙,猴,猴
20260821006,27,14,45,6,2,8,39,龙,绿波,大,单,2026-08-21 00:15:00,龙,蛇,狗,牛,蛇,猪
20260821007,30,4,48,3,49,34,12,羊,红波,小,双,2026-08-21 00:18:00,牛,兔,羊,龙,马,鸡
20260821008,15,10,43,4,16,3,25,马,蓝波,大,单,2026-08-21 00:21:00,龙,鸡,鼠,兔,兔,龙
20260821009,24,26,40,16,39,29,15,龙,蓝波,小,单,2026-08-21 00:24:00,羊,蛇,兔,兔,龙,虎
20260821010,34,14,16,41,49,21,4,兔,蓝波,小,双,2026-08-21 00:27:00,鸡,蛇,兔,虎,马,狗
20260821011,11,5,1,30,13,4,7,鼠,红波,小,单,2026-08-21 00:30:00,猴,虎,马,牛,马,兔
20260821012,27,31,18,11,42,15,7,鼠,红波,小,单,2026-08-21 00:33:00,龙,鼠,牛,猴,牛,龙
20260821013,14,25,5,33,36,34,42,牛,蓝波,大,双,2026-08-21 00:36:00,蛇,马,虎,狗,羊,鸡
20260821014,11,22,16,6,12,33,17,虎,绿波,小,单,2026-08-21 00:39:00,猴,鸡,兔,牛,羊,狗
20260821015,19,16,15,11,1,5,44,猪,绿波,大,双,2026-08-21 00:42:00,鼠,兔,龙,猴,马,虎
20260821016,13,27,12,1,45,21,11,猴,绿波,小,单,2026-08-21 00:45:00,马,龙,羊,马,狗,狗
20260821017,6,27,14,22,25,33,26,蛇,蓝波,大,双,2026-08-21 00:48:00,牛,龙,蛇,鸡,马,狗
20260821018,38,46,5,39,6,13,14,蛇,蓝波,小,双,2026-08-21 00:51:00,蛇,鸡,虎,龙,牛,马
20260821019,1,42,45,30,5,26,4,兔,蓝波,小,双,2026-08-21 00:54:00,马,牛,狗,牛,虎,蛇
20260821020,31,10,28,11,14,35,18,牛,红波,小,双,2026-08-21 00:57:00,鼠,鸡,兔,猴,蛇,猴
20260821021,41,9,30,26,39,7,15,龙,蓝波,小,单,2026-08-21 01:00:00,虎,狗,牛,蛇,龙,鼠
20260821022,15,31,40,44,25,2,29,虎,红波,大,单,2026-08-21 01:03:00,龙,鼠,兔,猪,马,蛇
20260821023,6,13,7,48,35,12,36,羊,蓝波,大,双,2026-08-21 01:06:00,牛,马,鼠,羊,猴,羊
20260821024,49,25,36,13,12,22,37,马,蓝波,大,单,2026-08-21 01:09:00,马,马,羊,马,羊,鸡
20260821025,37,20,4,2,26,32,10,鸡,蓝波,小,双,2026-08-21 01:12:00,马,猪,兔,蛇,蛇,猪
20260821026,40,18,4,38,25,46,12,羊,红波,小,双,2026-08-21 01:15:00,兔,牛,兔,蛇,马,鸡
20260821027,21,18,16,33,12,37,48,羊,蓝波,大,双,2026-08-21 01:18:00,狗,牛,兔,狗,羊,马
20260821028,39,38,26,45,15,13,29,虎,红波,大,单,2026-08-21 01:21:00,龙,蛇,蛇,狗,龙,马
20260821029,19,34,13,14,15,37,25,马,蓝波,大,单,2026-08-21 01:24:00,鼠,鸡,马,蛇,龙,马
20260821030,7,38,20,46,27,3,24,羊,红波,小,双,2026-08-21 01:27:00,鼠,蛇,猪,鸡,龙,龙
20260821031,23,36,13,4,19,12,1,马,红波,小,单,2026-08-21 01:30:00,猴,羊,马,兔,鼠,羊
20260821032,39,22,16,18,30,26,17,虎,绿波,小,单,2026-08-21 01:33:00,龙,鸡,兔,牛,牛,蛇
20260821033,6,44,46,24,1,32,30,牛,红波,大,双,2026-08-21 01:36:00,牛,猪,鸡,羊,马,猪
20260821034,40,6,17,34,11,10,14,蛇,蓝波,小,双,2026-08-21 01:39:00,兔,牛,虎,鸡,猴,鸡
20260821035,3,10,43,16,27,7,30,牛,红波,大,双,2026-08-21 01:42:00,龙,鸡,鼠,兔,龙,鼠
20260821036,32,9,11,22,42,1,33,狗,绿波,大,单,2026-08-21 01:45:00,猪,狗,猴,鸡,牛,马
20260821037,26,35,31,34,4,45,13,马,红波,小,单,2026-08-21 01:48:00,蛇,猴,鼠,鸡,兔,狗
20260821038,44,46,19,4,22,39,31,鼠,蓝波,大,单,2026-08-21 01:51:00,猪,鸡,鼠,兔,鸡,龙
20260821039,36,18,5,17,7,3,6,牛,绿波,小,双,2026-08-21 01:54:00,羊,牛,虎,虎,鼠,龙
20260821040,48,2,26,32,41,5,17,虎,绿波,小,单,2026-08-21 01:57:00,羊,蛇,蛇,猪,虎,虎
20260821041,38,22,18,47,35,14,45,狗,红波,大,单,2026-08-21 02:00:00,蛇,鸡,牛,猴,猴,蛇
20260821042,4,49,38,45,16,34,7,鼠,红波,小,单,2026-08-21 02:03:00,兔,马,蛇,狗,兔,鸡
20260821043,16,28,40,26,38,10,35,猴,红波,大,单,2026-08-21 02:06:00,兔,兔,兔,蛇,蛇,鸡
20260821044,36,26,34,49,33,29,9,狗,蓝波,小,单,2026-08-21 02:09:00,羊,蛇,鸡,马,狗,虎
20260821045,8,31,48,36,35,16,42,牛,蓝波,大,双,2026-08-21 02:12:00,猪,鼠,羊,羊,猴,兔
20260821046,23,20,24,17,47,22,37,马,蓝波,大,单,2026-08-21 02:15:00,猴,猪,羊,虎,猴,鸡
20260821047,44,16,34,14,36,29,1,马,红波,小,单,2026-08-21 02:18:00,猪,兔,鸡,蛇,羊,虎
20260821048,48,34,44,30,22,35,46,鸡,红波,大,双,2026-08-21 02:21:00,羊,鸡,猪,牛,鸡,猴
20260821049,7,33,19,41,26,11,3,龙,蓝波,小,单,2026-08-21 02:24:00,鼠,狗,鼠,虎,蛇,猴
20260821050,26,4,40,14,44,43,18,牛,红波,小,双,2026-08-21 02:27:00,蛇,兔,兔,蛇,猪,鼠
20260821051,29,16,21,23,25,11,32,猪,绿波,大,双,2026-08-21 02:30:00,虎,兔,狗,猴,马,猴
20260821052,38,10,27,40,45,29,12,羊,红波,小,双,2026-08-21 02:33:00,蛇,鸡,龙,兔,狗,虎
20260821053,5,1,38,35,39,48,34,鸡,红波,大,双,2026-08-21 02:36:00,虎,马,蛇,猴,龙,羊
20260821054,41,34,21,13,43,26,40,兔,红波,大,双,2026-08-21 02:39:00,虎,鸡,狗,马,鼠,蛇
20260821055,3,23,11,40,31,39,5,虎,绿波,小,单,2026-08-21 02:42:00,龙,猴,猴,兔,鼠,龙
20260821056,12,13,32,5,14,30,16,兔,绿波,小,双,2026-08-21 02:45:00,羊,马,猪,虎,蛇,牛
20260821057,49,48,15,47,25,42,34,鸡,红波,大,双,2026-08-21 02:48:00,马,羊,龙,猴,马,牛
20260821058,3,41,27,9,5,40,7,鼠,红波,小,单,2026-08-21 02:51:00,龙,虎,龙,狗,虎,兔
20260821059,36,8,23,1,38,39,18,牛,红波,小,双,2026-08-21 02:54:00,羊,猪,猴,马,蛇,龙
20260821060,10,19,16,38,14,23,15,龙,蓝波,小,单,2026-08-21 02:57:00,鸡,鼠,兔,蛇,蛇,猴
20260821061,5,44,43,1,48,22,15,龙,蓝波,小,单,2026-08-21 03:00:00,虎,猪,鼠,马,羊,鸡
20260821062,31,3,18,26,23,28,35,猴,红波,大,单,2026-08-21 03:03:00,鼠,龙,牛,蛇,猴,兔
20260821063,24,21,4,8,47,7,48,羊,蓝波,大,双,2026-08-21 03:06:00,羊,狗,兔,猪,猴,鼠
20260821064,16,47,1,7,11,15,18,牛,红波,小,双,2026-08-21 03:09:00,兔,猴,马,鼠,猴,龙
20260821065,26,11,8,34,15,20,7,鼠,红波,小,单,2026-08-21 03:12:00,蛇,猴,猪,鸡,龙,猪
20260821066,32,14,9,25,37,35,16,兔,绿波,小,双,2026-08-21 03:15:00,猪,蛇,狗,马,马,猴
20260821067,48,15,6,18,46,12,7,鼠,红波,小,单,2026-08-21 03:18:00,羊,龙,牛,牛,鸡,羊
20260821068,41,38,46,7,8,24,16,兔,绿波,小,双,2026-08-21 03:21:00,虎,蛇,鸡,鼠,猪,羊
20260821069,35,31,18,27,14,48,23,猴,红波,小,单,2026-08-21 03:24:00,猴,鼠,牛,龙,蛇,羊
20260821070,27,45,46,34,5,43,26,蛇,蓝波,大,双,2026-08-21 03:27:00,龙,狗,鸡,鸡,虎,鼠
20260821071,8,13,18,48,23,47,20,猪,蓝波,小,双,2026-08-21 03:30:00,猪,马,牛,羊,猴,猴
20260821072,29,31,38,13,48,6,40,兔,红波,大,双,2026-08-21 03:33:00,虎,鼠,蛇,马,羊,牛
20260821073,21,25,15,39,29,42,30,牛,红波,大,双,2026-08-21 03:36:00,狗,马,龙,龙,虎,牛
20260821074,8,17,25,3,40,37,7,鼠,红波,小,单,2026-08-21 03:39:00,猪,虎,马,龙,兔,马
20260821075,9,21,3,26,46,16,23,猴,红波,小,单,2026-08-21 03:42:00,狗,狗,龙,蛇,鸡,兔
20260821076,25,24,11,3,28,27,1,马,红波,小,单,2026-08-21 03:45:00,马,羊,猴,龙,兔,龙
20260821077,3,42,44,11,13,18,8,猪,红波,小,双,2026-08-21 03:48:00,龙,牛,猪,猴,马,牛
20260821078,30,8,22,2,6,23,27,龙,绿波,大,单,2026-08-21 03:51:00,牛,猪,鸡,蛇,牛,猴
20260821079,47,10,21,40,11,22,32,猪,绿波,大,双,2026-08-21 03:54:00,猴,鸡,狗,兔,猴,鸡
20260821080,14,4,38,49,13,31,36,羊,蓝波,大,双,2026-08-21 03:57:00,蛇,兔,蛇,马,马,鼠
20260821081,48,44,39,36,10,12,32,猪,绿波,大,双,2026-08-21 04:00:00,羊,猪,龙,羊,鸡,羊
20260821082,8,36,39,11,32,24,12,羊,红波,小,双,2026-08-21 04:03:00,猪,羊,龙,猴,猪,羊
20260821083,43,39,33,4,22,14,48,羊,蓝波,大,双,2026-08-21 04:06:00,鼠,龙,狗,兔,鸡,蛇
20260821084,23,28,4,41,33,19,6,牛,绿波,小,双,2026-08-21 04:09:00,猴,兔,兔,虎,狗,鼠
20260821085,2,37,31,4,11,5,18,牛,红波,小,双,2026-08-21 04:12:00,蛇,马,鼠,兔,猴,虎
20260821086,16,30,36,42,15,5,48,羊,蓝波,大,双,2026-08-21 04:15:00,兔,牛,羊,牛,龙,虎
20260821087,13,40,17,9,41,38,25,马,蓝波,大,单,2026-08-21 04:18:00,马,兔,虎,狗,虎,蛇
20260821088,28,14,17,8,49,37,18,牛,红波,小,双,2026-08-21 04:21:00,兔,蛇,虎,猪,马,马
20260821089,16,18,38,46,1,28,24,羊,红波,小,双,2026-08-21 04:24:00,兔,牛,蛇,鸡,马,兔
20260821090,1,4,36,28,27,3,29,虎,红波,大,单,2026-08-21 04:27:00,马,兔,羊,兔,龙,龙
20260821091,13,39,4,45,43,44,47,猴,蓝波,大,单,2026-08-21 04:30:00,马,龙,兔,狗,鼠,猪
20260821092,33,41,25,7,17,26,40,兔,红波,大,双,2026-08-21 04:33:00,狗,虎,马,鼠,虎,蛇
20260821093,35,4,32,44,13,46,29,虎,红波,大,单,2026-08-21 04:36:00,猴,兔,猪,猪,马,鸡
20260821094,20,30,25,29,1,4,49,马,绿波,大,单,2026-08-21 04:39:00,猪,牛,马,虎,马,兔
20260821095,2,31,48,1,20,47,33,狗,绿波,大,单,2026-08-21 04:42:00,蛇,鼠,羊,马,猪,猴
20260821096,42,14,15,44,7,39,8,猪,红波,小,双,2026-08-21 04:45:00,牛,蛇,龙,猪,鼠,龙
20260821097,22,8,3,48,25,41,47,猴,蓝波,大,单,2026-08-21 04:48:00,鸡,猪,龙,羊,马,虎
20260821098,44,14,5,41,43,37,42,牛,蓝波,大,双,2026-08-21 04:51:00,猪,蛇,虎,虎,鼠,马
20260821099,30,11,22,40,45,47,48,羊,蓝波,大,双,2026-08-21 04:54:00,牛,猴,鸡,兔,狗,猴
20260821100,38,16,13,30,31,1,15,龙,蓝波,小,单,2026-08-21 04:57:00,蛇,兔,马,牛,鼠,马
20260821101,38,14,9,7,12,39,6,牛,绿波,小,双,2026-08-21 05:00:00,蛇,蛇,狗,鼠,羊,龙
20260821102,13,21,4,14,9,2,45,狗,红波,大,单,2026-08-21 05:03:00,马,狗,兔,蛇,狗,蛇
20260821103,30,27,4,15,39,16,17,虎,绿波,小,单,2026-08-21 05:06:00,牛,龙,兔,龙,龙,兔
20260821104,23,13,49,41,42,29,3,龙,蓝波,小,单,2026-08-21 05:09:00,猴,马,马,虎,牛,虎
20260821105,15,7,36,28,45,49,27,龙,绿波,大,单,2026-08-21 05:12:00,龙,鼠,羊,兔,狗,马
20260821106,27,25,2,47,3,35,45,狗,红波,大,单,2026-08-21 05:15:00,龙,马,蛇,猴,龙,猴
20260821107,25,49,39,34,22,46,16,兔,绿波,小,双,2026-08-21 05:18:00,马,马,龙,鸡,鸡,鸡
20260821108,18,42,28,24,35,1,33,狗,绿波,大,单,2026-08-21 05:21:00,牛,牛,兔,羊,猴,马
20260821109,1,30,16,9,43,36,2,蛇,红波,小,双,2026-08-21 05:24:00,马,牛,兔,狗,鼠,羊
20260821110,33,29,35,28,41,34,18,牛,红波,小,双,2026-08-21 05:27:00,狗,虎,猴,兔,虎,鸡
20260821111,47,41,18,33,36,8,35,猴,红波,大,单,2026-08-21 05:30:00,猴,虎,牛,狗,羊,猪
20260821112,32,25,36,17,7,3,24,羊,红波,小,双,2026-08-21 05:33:00,猪,马,羊,虎,鼠,龙
20260821113,5,12,11,38,25,46,9,狗,蓝波,小,单,2026-08-21 05:36:00,虎,羊,猴,蛇,马,鸡
20260821114,6,18,17,8,27,30,36,羊,蓝波,大,双,2026-08-21 05:39:00,牛,牛,虎,猪,龙,牛
20260821115,24,42,2,11,37,48,1,马,红波,小,单,2026-08-21 05:42:00,羊,牛,蛇,猴,马,羊
20260821116,8,41,7,9,38,32,17,虎,绿波,小,单,2026-08-21 05:45:00,猪,虎,鼠,狗,蛇,猪
20260821117,1,46,12,31,9,40,13,马,红波,小,单,2026-08-21 05:48:00,马,鸡,羊,鼠,狗,兔
20260821118,13,16,49,14,22,1,20,猪,蓝波,小,双,2026-08-21 05:51:00,马,兔,马,蛇,鸡,马
20260821119,10,12,32,1,17,21,43,鼠,绿波,大,单,2026-08-21 05:54:00,鸡,羊,猪,马,虎,狗
20260821120,40,30,48,22,19,18,43,鼠,绿波,大,单,2026-08-21 05:57:00,兔,牛,羊,鸡,鼠,牛
20260821121,48,9,1,32,47,8,46,鸡,红波,大,双,2026-08-21 06:00:00,羊,狗,马,猪,猴,猪
20260821122,15,41,11,21,17,4,9,狗,蓝波,小,单,2026-08-21 06:03:00,龙,虎,猴,狗,虎,兔
20260821123,2,22,32,13,47,48,11,猴,绿波,小,单,2026-08-21 06:06:00,蛇,鸡,猪,马,猴,羊
20260821124,1,13,23,6,10,8,48,羊,蓝波,大,双,2026-08-21 06:09:00,马,马,猴,牛,鸡,猪
20260821125,15,1,12,33,42,48,6,牛,绿波,小,双,2026-08-21 06:12:00,龙,马,羊,狗,牛,羊
20260821126,10,7,19,35,6,33,37,马,蓝波,大,单,2026-08-21 06:15:00,鸡,鼠,鼠,猴,牛,狗
20260821127,44,21,19,34,31,1,33,狗,绿波,大,单,2026-08-21 06:18:00,猪,狗,鼠,鸡,鼠,马
20260821128,28,49,12,35,14,33,20,猪,蓝波,小,双,2026-08-21 06:21:00,兔,马,羊,猴,蛇,狗
20260821129,29,15,30,2,12,16,22,鸡,绿波,小,双,2026-08-21 06:24:00,虎,龙,牛,蛇,羊,兔
20260821130,3,14,41,2,25,13,36,羊,蓝波,大,双,2026-08-21 06:27:00,龙,蛇,虎,蛇,马,马
20260821131,37,25,14,10,38,7,15,龙,蓝波,小,单,2026-08-21 06:30:00,马,马,蛇,鸡,蛇,鼠
20260821132,29,6,24,9,27,38,2,蛇,红波,小,双,2026-08-21 06:33:00,虎,牛,羊,狗,龙,蛇
20260821133,13,11,26,19,9,46,17,虎,绿波,小,单,2026-08-21 06:36:00,马,猴,蛇,鼠,狗,鸡
20260821134,2,6,26,32,24,37,42,牛,蓝波,大,双,2026-08-21 06:39:00,蛇,牛,蛇,猪,羊,马
20260821135,36,40,27,4,15,24,18,牛,红波,小,双,2026-08-21 06:42:00,羊,兔,龙,兔,龙,羊
20260821136,37,20,11,36,10,28,33,狗,绿波,大,单,2026-08-21 06:45:00,马,猪,猴,羊,鸡,兔
20260821137,48,33,22,38,31,10,49,马,绿波,大,单,2026-08-21 06:48:00,羊,狗,鸡,蛇,鼠,鸡
20260821138,35,15,42,20,23,43,27,龙,绿波,大,单,2026-08-21 06:51:00,猴,龙,牛,猪,猴,鼠
20260821139,18,32,8,34,44,43,3,龙,蓝波,小,单,2026-08-21 06:54:00,牛,猪,猪,鸡,猪,鼠
20260821140,21,5,2,43,10,6,46,鸡,红波,大,双,2026-08-21 06:57:00,狗,虎,蛇,鼠,鸡,牛
20260821141,23,18,12,3,44,35,49,马,绿波,大,单,2026-08-21 07:00:00,猴,牛,羊,龙,猪,猴
20260821142,13,40,35,7,12,19,41,虎,蓝波,大,单,2026-08-21 07:03:00,马,兔,猴,鼠,羊,鼠
20260821143,27,3,28,12,33,7,21,狗,绿波,小,单,2026-08-21 07:06:00,龙,龙,兔,羊,狗,鼠
20260821144,49,20,28,36,45,13,11,猴,绿波,小,单,2026-08-21 07:09:00,马,猪,兔,羊,狗,马
20260821145,13,36,5,8,18,29,34,鸡,红波,大,双,2026-08-21 07:12:00,马,羊,虎,猪,牛,虎
20260821146,45,11,13,44,43,15,19,鼠,红波,小,单,2026-08-21 07:15:00,狗,猴,马,猪,鼠,龙
20260821147,41,30,43,32,22,2,25,马,蓝波,大,单,2026-08-21 07:18:00,虎,牛,鼠,猪,鸡,蛇
20260821148,30,41,28,31,7,47,3,龙,蓝波,小,单,2026-08-21 07:21:00,牛,虎,兔,鼠,鼠,猴
20260821149,43,47,7,23,17,16,33,狗,绿波,大,单,2026-08-21 07:24:00,鼠,猴,鼠,猴,虎,兔
20260821150,33,46,30,24,15,27,2,蛇,红波,小,双,2026-08-21 07:27:00,狗,鸡,牛,羊,龙,龙
20260821151,22,32,34,12,37,40,43,鼠,绿波,大,单,2026-08-21 07:30:00,鸡,猪,鸡,羊,马,兔
20260821152,22,7,45,11,18,46,20,猪,蓝波,小,双,2026-08-21 07:33:00,鸡,鼠,狗,猴,牛,鸡
20260821153,3,6,30,4,12,37,17,虎,绿波,小,单,2026-08-21 07:36:00,龙,牛,牛,兔,羊,马
20260821154,47,12,25,39,44,20,4,兔,蓝波,小,双,2026-08-21 07:39:00,猴,羊,马,龙,猪,猪
20260821155,24,1,45,23,39,38,25,马,蓝波,大,单,2026-08-21 07:42:00,羊,马,狗,猴,龙,蛇
20260821156,28,25,32,35,27,43,3,龙,蓝波,小,单,2026-08-21 07:45:00,兔,马,猪,猴,龙,鼠
20260821157,38,7,10,37,41,11,43,鼠,绿波,大,单,2026-08-21 07:48:00,蛇,鼠,鸡,马,虎,猴
20260821158,6,7,44,30,18,49,25,马,蓝波,大,单,2026-08-21 07:51:00,牛,鼠,猪,牛,牛,马
20260821159,43,10,25,17,8,42,38,蛇,绿波,大,双,2026-08-21 07:54:00,鼠,鸡,马,虎,猪,牛
20260821160,12,13,25,23,19,4,38,蛇,绿波,大,双,2026-08-21 07:57:00,羊,马,马,猴,鼠,兔
20260821161,31,10,7,49,8,9,19,鼠,红波,小,单,2026-08-21 08:00:00,鼠,鸡,鼠,马,猪,狗
20260821162,44,33,35,29,11,12,14,蛇,蓝波,小,双,2026-08-21 08:03:00,猪,狗,猴,虎,猴,羊
20260821163,21,49,34,33,47,15,8,猪,红波,小,双,2026-08-21 08:06:00,狗,马,鸡,狗,猴,龙
20260821164,35,19,23,13,8,48,45,狗,红波,大,单,2026-08-21 08:09:00,猴,鼠,猴,马,猪,羊
20260821165,43,32,47,7,33,12,16,兔,绿波,小,双,2026-08-21 08:12:00,鼠,猪,猴,鼠,狗,羊
20260821166,30,44,8,35,20,19,10,鸡,蓝波,小,双,2026-08-21 08:15:00,牛,猪,猪,猴,猪,鼠
20260821167,11,37,26,14,34,48,47,猴,蓝波,大,单,2026-08-21 08:18:00,猴,马,蛇,蛇,鸡,羊
20260821168,5,17,15,21,36,6,41,虎,蓝波,大,单,2026-08-21 08:21:00,虎,虎,龙,狗,羊,牛
20260821169,25,38,8,16,40,20,18,牛,红波,小,双,2026-08-21 08:24:00,马,蛇,猪,兔,兔,猪
20260821170,43,15,1,23,28,24,26,蛇,蓝波,大,双,2026-08-21 08:27:00,鼠,龙,马,猴,兔,羊
20260821171,31,40,48,10,25,3,32,猪,绿波,大,双,2026-08-21 08:30:00,鼠,兔,羊,鸡,马,龙
20260821172,1,17,31,33,42,29,8,猪,红波,小,双,2026-08-21 08:33:00,马,虎,鼠,狗,牛,虎
20260821173,2,3,17,7,32,12,20,猪,蓝波,小,双,2026-08-21 08:36:00,蛇,龙,虎,鼠,猪,羊
20260821174,11,19,12,43,44,27,10,鸡,蓝波,小,双,2026-08-21 08:39:00,猴,鼠,羊,鼠,猪,龙
20260821175,4,43,37,21,15,2,34,鸡,红波,大,双,2026-08-21 08:42:00,兔,鼠,马,狗,龙,蛇
20260821176,19,29,28,44,11,40,23,猴,红波,小,单,2026-08-21 08:45:00,鼠,虎,兔,猪,猴,兔
20260821177,3,37,48,28,26,31,43,鼠,绿波,大,单,2026-08-21 08:48:00,龙,马,羊,兔,蛇,鼠
20260821178,39,21,47,28,10,49,20,猪,蓝波,小,双,2026-08-21 08:51:00,龙,狗,猴,兔,鸡,马
20260821179,39,45,43,40,42,11,41,虎,蓝波,大,单,2026-08-21 08:54:00,龙,狗,鼠,兔,牛,猴
20260821180,15,18,17,47,20,11,31,鼠,蓝波,大,单,2026-08-21 08:57:00,龙,牛,虎,猴,猪,猴
20260821181,23,20,35,22,33,38,13,马,红波,小,单,2026-08-21 09:00:00,猴,猪,猴,鸡,狗,蛇
20260821182,41,20,2,28,25,48,49,马,绿波,大,单,2026-08-21 09:03:00,虎,猪,蛇,兔,马,羊
20260821183,28,26,43,44,14,47,25,马,蓝波,大,单,2026-08-21 09:06:00,兔,蛇,鼠,猪,蛇,猴
20260821184,22,5,1,41,30,12,23,猴,红波,小,单,2026-08-21 09:09:00,鸡,虎,马,虎,牛,羊
20260821185,43,29,12,1,10,25,21,狗,绿波,小,单,2026-08-21 09:12:00,鼠,虎,羊,马,鸡,马
20260821186,31,27,30,37,36,13,16,兔,绿波,小,双,2026-08-21 09:15:00,鼠,龙,牛,马,羊,马
20260821187,41,5,36,12,33,42,28,兔,绿波,大,双,2026-08-21 09:18:00,虎,虎,羊,羊,狗,牛
20260821188,26,45,22,12,10,32,4,兔,蓝波,小,双,2026-08-21 09:21:00,蛇,狗,鸡,羊,鸡,猪
20260821189,18,47,34,22,43,27,42,牛,蓝波,大,双,2026-08-21 09:24:00,牛,猴,鸡,鸡,鼠,龙
20260821190,2,39,19,18,5,42,40,兔,红波,大,双,2026-08-21 09:27:00,蛇,龙,鼠,牛,虎,牛
20260821191,13,48,43,19,20,39,2,蛇,红波,小,双,2026-08-21 09:30:00,马,羊,鼠,鼠,猪,龙
20260821192,32,25,24,18,40,33,2,蛇,红波,小,双,2026-08-21 09:33:00,猪,马,羊,牛,兔,狗
20260821193,40,11,44,7,19,42,20,猪,蓝波,小,双,2026-08-21 09:36:00,兔,猴,猪,鼠,鼠,牛
20260821194,22,19,33,36,39,41,7,鼠,红波,小,单,2026-08-21 09:39:00,鸡,鼠,狗,羊,龙,虎
20260821195,14,25,48,47,41,15,7,鼠,红波,小,单,2026-08-21 09:42:00,蛇,马,羊,猴,虎,龙
20260821196,3,28,13,23,11,18,46,鸡,红波,大,双,2026-08-21 09:45:00,龙,兔,马,猴,猴,牛
20260821197,46,29,8,31,37,15,17,虎,绿波,小,单,2026-08-21 09:48:00,鸡,虎,猪,鼠,马,龙
20260821198,25,13,38,14,35,11,20,猪,蓝波,小,双,2026-08-21 09:51:00,马,马,蛇,蛇,猴,猴
20260821199,37,20,26,36,33,24,8,猪,红波,小,双,2026-08-21 09:54:00,马,猪,蛇,羊,狗,羊
20260821200,26,14,2,8,23,1,10,鸡,蓝波,小,双,2026-08-21 09:57:00,蛇,蛇,蛇,猪,猴,马
20260821201,10,49,31,11,37,38,40,兔,红波,大,双,2026-08-21 10:00:00,鸡,马,鼠,猴,马,蛇
20260821202,5,6,4,49,29,25,23,猴,红波,小,单,2026-08-21 10:03:00,虎,牛,兔,马,虎,马
20260821203,18,41,11,26,13,42,43,鼠,绿波,大,单,2026-08-21 10:06:00,牛,虎,猴,蛇,马,牛
20260821204,30,25,11,37,31,39,12,羊,红波,小,双,2026-08-21 10:09:00,牛,马,猴,马,鼠,龙
20260821205,5,49,32,37,28,18,27,龙,绿波,大,单,2026-08-21 10:12:00,虎,马,猪,马,兔,牛
20260821206,18,49,40,23,1,41,14,蛇,蓝波,小,双,2026-08-21 10:15:00,牛,马,兔,猴,马,虎
20260821207,40,2,33,39,10,14,36,羊,蓝波,大,双,2026-08-21 10:18:00,兔,蛇,狗,龙,鸡,蛇
20260821208,26,6,5,3,1,18,17,虎,绿波,小,单,2026-08-21 10:21:00,蛇,牛,虎,龙,马,牛
20260821209,40,31,2,13,8,1,9,狗,蓝波,小,单,2026-08-21 10:24:00,兔,鼠,蛇,马,猪,马
20260821210,33,4,22,28,9,2,3,龙,蓝波,小,单,2026-08-21 10:27:00,狗,兔,鸡,兔,狗,蛇
20260821211,15,21,36,40,42,28,46,鸡,红波,大,双,2026-08-21 10:30:00,龙,狗,羊,兔,牛,兔
20260821212,21,32,35,11,39,36,15,龙,蓝波,小,单,2026-08-21 10:33:00,狗,猪,猴,猴,龙,羊
20260821213,47,42,26,1,27,14,17,虎,绿波,小,单,2026-08-21 10:36:00,猴,牛,蛇,马,龙,蛇
20260821214,13,20,23,14,37,27,19,鼠,红波,小,单,2026-08-21 10:39:00,马,猪,猴,蛇,马,龙
20260821215,43,11,5,14,10,29,16,兔,绿波,小,双,2026-08-21 10:42:00,鼠,猴,虎,蛇,鸡,虎
20260821216,4,42,35,13,48,14,20,猪,蓝波,小,双,2026-08-21 10:45:00,兔,牛,猴,马,羊,蛇
20260821217,42,15,2,31,8,9,25,马,蓝波,大,单,2026-08-21 10:48:00,牛,龙,蛇,鼠,猪,狗
20260821218,2,46,24,29,43,41,47,猴,蓝波,大,单,2026-08-21 10:51:00,蛇,鸡,羊,虎,鼠,虎
20260821219,17,33,39,7,28,21,12,羊,红波,小,双,2026-08-21 10:54:00,虎,狗,龙,鼠,兔,狗
20260821220,20,12,43,37,16,13,2,蛇,红波,小,双,2026-08-21 10:57:00,猪,羊,鼠,马,兔,马
20260821221,48,29,2,17,42,46,10,鸡,蓝波,小,双,2026-08-21 11:00:00,羊,虎,蛇,虎,牛,鸡
20260821222,10,12,37,30,6,36,43,鼠,绿波,大,单,2026-08-21 11:03:00,鸡,羊,马,牛,牛,羊
